"Station Name","CALGARY INT'L CS"
"Province","ALBERTA"
"Latitude","51.11"
"Longitude","-114.00"
"Elevation","1081.90"
"Climate Identifier","3031094"
"WMO Identifier","71393"
"TC Identifier","PCI"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-10-01 00:00","2017","10","01","00:00"," ","6.7","","3.5","","81","","35","","23","","","","88.55","","","","","","NA"
"2017-10-01 01:00","2017","10","01","01:00"," ","6.5","","3.3","","80","","34","","18","","","","88.58","","","","","","NA"
"2017-10-01 02:00","2017","10","01","02:00"," ","6.0","","3.1","","82","","32","","15","","","","88.61","","","","","","NA"
"2017-10-01 03:00","2017","10","01","03:00"," ","6.4","","2.3","","75","","30","","18","","","","88.63","","","","","","NA"
"2017-10-01 04:00","2017","10","01","04:00"," ","5.3","","0.3","","70","","31","","19","","","","88.66","","","","","","NA"
"2017-10-01 05:00","2017","10","01","05:00"," ","5.0","","-0.7","","67","","32","","17","","","","88.70","","","","","","NA"
"2017-10-01 06:00","2017","10","01","06:00"," ","4.6","","-1.6","","64","","31","","12","","","","88.71","","","","","","NA"
"2017-10-01 07:00","2017","10","01","07:00"," ","5.1","","-1.9","","61","","32","","22","","","","88.73","","","","","","NA"
"2017-10-01 08:00","2017","10","01","08:00"," ","5.6","","-2.5","","56","","33","","24","","","","88.77","","","","","","NA"
"2017-10-01 09:00","2017","10","01","09:00"," ","6.5","","-3.2","","50","","34","","35","","","","88.79","","","","","","NA"
