"Station Name","CALGARY INT'L CS"
"Province","ALBERTA"
"Latitude","51.11"
"Longitude","-114.00"
"Elevation","1081.90"
"Climate Identifier","3031094"
"WMO Identifier","71393"
"TC Identifier","PCI"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2014-10-01 00:00","2014","10","01","00:00"," ","3.6","","1.6","","87","","","M","","M","","","88.77","","","","","","NA"
"2014-10-01 01:00","2014","10","01","01:00"," ","2.9","","1.0","","87","","","M","","M","","","88.77","","","","","","NA"
"2014-10-01 02:00","2014","10","01","02:00"," ","3.3","","1.1","","85","","","M","","M","","","88.76","","","","","","NA"
"2014-10-01 03:00","2014","10","01","03:00"," ","1.5","","0.4","","92","","","M","","M","","","88.76","","","","","","NA"
"2014-10-01 04:00","2014","10","01","04:00"," ","2.2","","0.4","","88","","","M","","M","","","88.78","","","","","","NA"
"2014-10-01 05:00","2014","10","01","05:00"," ","1.3","","-0.2","","89","","","M","","M","","","88.79","","","","","","NA"
"2014-10-01 06:00","2014","10","01","06:00"," ","1.7","","0.4","","91","","","M","","M","","","88.79","","","","","","NA"
"2014-10-01 07:00","2014","10","01","07:00"," ","1.6","","0.2","","91","","","M","","M","","","88.79","","","","","","NA"
"2014-10-01 08:00","2014","10","01","08:00"," ","3.6","","1.1","","83","","","M","","M","","","88.80","","","","","","NA"
"2014-10-01 09:00","2014","10","01","09:00"," ","6.7","","1.0","","67","","","M","","M","","","88.79","","","","","","NA"
"2014-10-01 10:00","2014","10","01","10:00"," ","9.9","","1.9","","57","","","M","","M","","","88.73","","","","","","NA"
