"Station Name","CALGARY INT'L CS"
"Province","ALBERTA"
"Latitude","51.11"
"Longitude","-114.00"
"Elevation","1081.90"
"Climate Identifier","3031094"
"WMO Identifier","71393"
"TC Identifier","PCI"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2016-10-01 00:00","2016","10","01","00:00"," ","9.5","","7.9","","90","","36","","17","","","","89.31","","","","","","NA"
"2016-10-01 01:00","2016","10","01","01:00"," ","9.1","","7.7","","91","","2","","18","","","","89.26","","","","","","NA"
"2016-10-01 02:00","2016","10","01","02:00"," ","8.5","","7.7","","94","","3","","15","","","","89.23","","","","","","NA"
"2016-10-01 03:00","2016","10","01","03:00"," ","8.2","","7.8","","97","","2","","12","","","","89.18","","","","","","NA"
"2016-10-01 04:00","2016","10","01","04:00"," ","8.0","","7.6","","98","","34","","10","","","","89.16","","","","","","NA"
"2016-10-01 05:00","2016","10","01","05:00"," ","8.1","","7.8","","98","","2","","11","","","","89.11","","","","","","NA"
"2016-10-01 06:00","2016","10","01","06:00"," ","7.9","","7.6","","98","","2","","12","","","","89.00","","","","","","NA"
"2016-10-01 07:00","2016","10","01","07:00"," ","8.0","","7.5","","97","","5","","12","","","","88.93","","","","","","NA"
"2016-10-01 08:00","2016","10","01","08:00"," ","7.9","","7.5","","97","","7","","10","","","","88.95","","","","","","NA"
"2016-10-01 09:00","2016","10","01","09:00"," ","8.1","","7.7","","98","","17","","2","","","","88.98","","","","","","NA"
"2016-10-01 10:00","2016","10","01","10:00"," ","8.4","","8.0","","97","","10","","2","","","","88.86","","","","","","NA"
"2016-10-01 11:00","2016","10","01","11:00"," ","8.7","","8.2","","97","","34","","10","","","","88.85","","","","","","NA"
"2016-10-01 12:00","2016","10","01","12:00"," ","9.1","","7.8","","92","","2","","6","","","","88.81","","","","","","NA"
"2016-10-01 13:00","2016","10","01","13:00"," ","10.2","","8.0","","86","","11","","7","","","","88.76","","","","","","NA"
"2016-10-01 14:00","2016","10","01","14:00"," ","10.7","","8.3","","85","","21","","5","","","","88.72","","","","","","NA"
"2016-10-01 15:00","2016","10","01","15:00"," ","10.9","","7.8","","81","","16","","7","","","","88.67","","","","","","NA"
"2016-10-01 16:00","2016","10","01","16:00"," ","10.8","","8.4","","85","","17","","12","","","","88.66","","","","","","NA"
"2016-10-01 17:00","2016","10","01","17:00"," ","10.9","","8.4","","85","","18","","14","","","","88.66","","","","","","NA"
"2016-10-01 18:00","2016","10","01","18:00"," ","9.7","","8.0","","89","","16","","11","","","","88.62","","","","","","NA"
"2016-10-01 19:00","2016","10","01","19:00"," ","9.8","","8.1","","89","","18","","13","","","","88.65","","","","","","NA"
"2016-10-01 20:00","2016","10","01","20:00"," ","8.1","","5.2","","82","","28","","14","","","","88.66","","","","","","NA"
"2016-10-01 21:00","2016","10","01","21:00"," ","8.5","","3.9","","73","","34","","11","","","","88.74","","","","","","NA"
"2016-10-01 22:00","2016","10","01","22:00"," ","5.3","","3.1","","86","","30","","3","","","","88.86","","","","","","NA"
"2016-10-01 23:00","2016","10","01","23:00"," ","5.7","","2.7","","81","","34","","19","","","","88.94","","","","","","NA"
"2016-10-02 00:00","2016","10","02","00:00"," ","5.1","","3.2","","88","","34","","18","","","","89.01","","","","","","NA"
"2016-10-02 01:00","2016","10","02","01:00"," ","3.6","","2.2","","90","","33","","7","","","","89.05","","","","","","NA"
"2016-10-02 02:00","2016","10","02","02:00"," ","3.4","","2.3","","93","","33","","10","","","","89.02","","","","","","NA"
"2016-10-02 03:00","2016","10","02","03:00"," ","1.9","","0.9","","93","","33","","3","","","","89.06","","","","","","NA"
"2016-10-02 04:00","2016","10","02","04:00"," ","0.7","","-0.2","","94","","26","","2","","","","89.09","","","","","","NA"
"2016-10-02 05:00","2016","10","02","05:00"," ","1.0","","0.4","","96","","11","","5","","","","89.13","","","","","","NA"
"2016-10-02 06:00","2016","10","02","06:00"," ","1.2","","0.3","","94","","17","","8","","","","89.16","","","","","","NA"
"2016-10-02 07:00","2016","10","02","07:00"," ","1.4","","0.2","","91","","22","","5","","","","89.20","","","","","","NA"
"2016-10-02 08:00","2016","10","02","08:00"," ","4.0","","2.1","","87","","0","","1","","","","89.22","","","","","","NA"
"2016-10-02 09:00","2016","10","02","09:00"," ","6.6","","2.8","","77","","20","","12","","","","89.21","","","","","","NA"
"2016-10-02 10:00","2016","10","02","10:00"," ","8.3","","3.3","","71","","17","","19","","","","89.22","","","","","","NA"
"2016-10-02 11:00","2016","10","02","11:00"," ","10.0","","3.5","","64","","18","","16","","","","89.17","","","","","","NA"
"2016-10-02 12:00","2016","10","02","12:00"," ","11.0","","3.1","","58","","17","","16","","","","89.11","","","","","","NA"
"2016-10-02 13:00","2016","10","02","13:00"," ","12.1","","1.7","","49","","16","","15","","","","89.05","","","","","","NA"
"2016-10-02 14:00","2016","10","02","14:00"," ","11.9","","1.4","","49","","16","","20","","","","88.98","","","","","","NA"
"2016-10-02 15:00","2016","10","02","15:00"," ","13.6","","-0.8","","37","","15","","18","","","","88.94","","","","","","NA"
"2016-10-02 16:00","2016","10","02","16:00"," ","13.1","","-0.6","","39","","16","","15","","","","88.89","","","","","","NA"
"2016-10-02 17:00","2016","10","02","17:00"," ","12.4","","0.1","","43","","12","","12","","","","88.87","","","","","","NA"
"2016-10-02 18:00","2016","10","02","18:00"," ","8.7","","0.1","","55","","14","","8","","","","88.86","","","","","","NA"
"2016-10-02 19:00","2016","10","02","19:00"," ","8.6","","0.1","","55","","13","","8","","","","88.87","","","","","","NA"
"2016-10-02 20:00","2016","10","02","20:00"," ","7.6","","-0.3","","58","","13","","5","","","","88.87","","","","","","NA"
"2016-10-02 21:00","2016","10","02","21:00"," ","4.3","","0.5","","76","","35","","2","","","","88.89","","","","","","NA"
"2016-10-02 22:00","2016","10","02","22:00"," ","4.5","","1.1","","79","","15","","3","","","","88.90","","","","","","NA"
"2016-10-02 23:00","2016","10","02","23:00"," ","2.8","","0.3","","84","","33","","1","","","","88.87","","","","","","NA"
"2016-10-03 00:00","2016","10","03","00:00"," ","0.9","","-0.9","","87","","31","","2","","","","88.85","","","","","","NA"
"2016-10-03 01:00","2016","10","03","01:00"," ","0.3","","-1.6","","87","","14","","7","","","","88.86","","","","","","NA"
"2016-10-03 02:00","2016","10","03","02:00"," ","-0.1","","-1.7","","89","","33","","6","","","","88.79","","","","-2","","NA"
"2016-10-03 03:00","2016","10","03","03:00"," ","-0.3","","-1.7","","90","","30","","3","","","","88.76","","","","-1","","NA"
"2016-10-03 04:00","2016","10","03","04:00"," ","-0.3","","-2.1","","88","","31","","7","","","","88.71","","","","-3","","NA"
"2016-10-03 05:00","2016","10","03","05:00"," ","-1.0","","-3.1","","86","","25","","2","","","","88.76","","","","-2","","NA"
"2016-10-03 06:00","2016","10","03","06:00"," ","-0.7","","-2.5","","88","","28","","3","","","","88.80","","","","-2","","NA"
"2016-10-03 07:00","2016","10","03","07:00"," ","-0.9","","-3.0","","86","","30","","4","","","","88.84","","","","-2","","NA"
"2016-10-03 08:00","2016","10","03","08:00"," ","1.1","","-1.6","","82","","31","","5","","","","88.86","","","","","","NA"
"2016-10-03 09:00","2016","10","03","09:00"," ","4.7","","0.4","","74","","32","","5","","","","88.87","","","","","","NA"
"2016-10-03 10:00","2016","10","03","10:00"," ","7.6","","-0.4","","57","","31","","5","","","","88.85","","","","","","NA"
"2016-10-03 11:00","2016","10","03","11:00"," ","10.5","","-0.4","","47","","35","","5","","","","88.80","","","","","","NA"
"2016-10-03 12:00","2016","10","03","12:00"," ","11.4","","-2.3","","38","","7","","4","","","","88.75","","","","","","NA"
"2016-10-03 13:00","2016","10","03","13:00"," ","13.0","","-2.0","","35","","8","","7","","","","88.74","","","","","","NA"
"2016-10-03 14:00","2016","10","03","14:00"," ","13.1","","-1.1","","38","","11","","11","","","","88.71","","","","","","NA"
"2016-10-03 15:00","2016","10","03","15:00"," ","12.6","","0.0","","42","","11","","12","","","","88.72","","","","","","NA"
"2016-10-03 16:00","2016","10","03","16:00"," ","12.7","","0.5","","43","","11","","14","","","","88.72","","","","","","NA"
"2016-10-03 17:00","2016","10","03","17:00"," ","11.4","","0.5","","47","","10","","14","","","","88.74","","","","","","NA"
"2016-10-03 18:00","2016","10","03","18:00"," ","9.2","","1.9","","60","","10","","11","","","","88.76","","","","","","NA"
"2016-10-03 19:00","2016","10","03","19:00"," ","7.5","","2.2","","69","","9","","11","","","","88.77","","","","","","NA"
"2016-10-03 20:00","2016","10","03","20:00"," ","8.8","","2.1","","63","","9","","14","","","","88.77","","","","","","NA"
"2016-10-03 21:00","2016","10","03","21:00"," ","7.4","","1.5","","66","","11","","13","","","","88.77","","","","","","NA"
"2016-10-03 22:00","2016","10","03","22:00"," ","6.8","","1.1","","67","","16","","7","","","","88.78","","","","","","NA"
"2016-10-03 23:00","2016","10","03","23:00"," ","6.5","","0.9","","67","","16","","7","","","","88.77","","","","","","NA"
"2016-10-04 00:00","2016","10","04","00:00"," ","5.7","","0.3","","68","","19","","7","","","","88.78","","","","","","NA"
"2016-10-04 01:00","2016","10","04","01:00"," ","5.1","","0.1","","70","","19","","6","","","","88.78","","","","","","NA"
"2016-10-04 02:00","2016","10","04","02:00"," ","4.2","","0.2","","75","","15","","6","","","","88.77","","","","","","NA"
"2016-10-04 03:00","2016","10","04","03:00"," ","3.4","","-0.9","","74","","14","","9","","","","88.75","","","","","","NA"
"2016-10-04 04:00","2016","10","04","04:00"," ","1.8","","-1.2","","81","","16","","7","","","","88.74","","","","","","NA"
"2016-10-04 05:00","2016","10","04","05:00"," ","0.3","","-1.8","","86","","32","","4","","","","88.74","","","","","","NA"
"2016-10-04 06:00","2016","10","04","06:00"," ","0.8","","-1.1","","87","","0","","1","","","","88.75","","","","","","NA"
"2016-10-04 07:00","2016","10","04","07:00"," ","-0.3","","-2.5","","85","","32","","3","","","","88.77","","","","-1","","NA"
"2016-10-04 08:00","2016","10","04","08:00"," ","0.3","","-1.7","","86","","30","","3","","","","88.79","","","","","","NA"
"2016-10-04 09:00","2016","10","04","09:00"," ","1.8","","-0.6","","84","","31","","4","","","","88.80","","","","","","NA"
"2016-10-04 10:00","2016","10","04","10:00"," ","5.3","","0.7","","72","","29","","3","","","","88.79","","","","","","NA"
"2016-10-04 11:00","2016","10","04","11:00"," ","8.0","","1.4","","63","","33","","3","","","","88.80","","","","","","NA"
"2016-10-04 12:00","2016","10","04","12:00"," ","10.0","","-0.6","","48","","2","","5","","","","88.80","","","","","","NA"
"2016-10-04 13:00","2016","10","04","13:00"," ","11.3","","-1.4","","41","","36","","7","","","","88.79","","","","","","NA"
"2016-10-04 14:00","2016","10","04","14:00"," ","11.1","","-0.2","","46","","36","","11","","","","88.78","","","","","","NA"
"2016-10-04 15:00","2016","10","04","15:00"," ","9.8","","2.0","","58","","5","","22","","","","88.81","","","","","","NA"
"2016-10-04 16:00","2016","10","04","16:00"," ","9.2","","3.1","","66","","5","","24","","","","88.83","","","","","","NA"
"2016-10-04 17:00","2016","10","04","17:00"," ","7.8","","2.6","","70","","4","","27","","","","88.88","","","","","","NA"
"2016-10-04 18:00","2016","10","04","18:00"," ","6.4","","1.1","","69","","4","","23","","","","88.94","","","","","","NA"
"2016-10-04 19:00","2016","10","04","19:00"," ","4.9","","-0.4","","68","","5","","21","","","","89.03","","","","","","NA"
"2016-10-04 20:00","2016","10","04","20:00"," ","4.1","","-1.1","","69","","5","","25","","","","89.07","","","","","","NA"
"2016-10-04 21:00","2016","10","04","21:00"," ","3.4","","-1.3","","71","","3","","18","","","","89.10","","","","","","NA"
"2016-10-04 22:00","2016","10","04","22:00"," ","2.7","","-1.5","","74","","2","","16","","","","89.16","","","","","","NA"
"2016-10-04 23:00","2016","10","04","23:00"," ","2.4","","-1.5","","75","","36","","17","","","","89.18","","","","","","NA"
"2016-10-05 00:00","2016","10","05","00:00"," ","2.0","","-1.3","","79","","35","","15","","","","89.18","","","","","","NA"
"2016-10-05 01:00","2016","10","05","01:00"," ","1.8","","-1.6","","78","","36","","16","","","","89.19","","","","","","NA"
"2016-10-05 02:00","2016","10","05","02:00"," ","1.5","","-1.9","","78","","36","","19","","","","89.19","","","","","","NA"
"2016-10-05 03:00","2016","10","05","03:00"," ","1.4","","-2.1","","78","","35","","16","","","","89.20","","","","","","NA"
"2016-10-05 04:00","2016","10","05","04:00"," ","1.3","","-1.9","","79","","35","","19","","","","89.22","","","","","","NA"
"2016-10-05 05:00","2016","10","05","05:00"," ","1.1","","-2.1","","79","","35","","18","","","","89.24","","","","","","NA"
"2016-10-05 06:00","2016","10","05","06:00"," ","1.0","","-2.1","","80","","34","","17","","","","89.27","","","","","","NA"
"2016-10-05 07:00","2016","10","05","07:00"," ","0.9","","-1.9","","82","","35","","17","","","","89.28","","","","","","NA"
"2016-10-05 08:00","2016","10","05","08:00"," ","1.1","","-1.8","","81","","35","","18","","","","89.27","","","","","","NA"
"2016-10-05 09:00","2016","10","05","09:00"," ","1.6","","-1.7","","79","","35","","17","","","","89.25","","","","","","NA"
"2016-10-05 10:00","2016","10","05","10:00"," ","1.8","","-2.6","","73","","1","","21","","","","89.26","","","","","","NA"
"2016-10-05 11:00","2016","10","05","11:00"," ","1.9","","-2.8","","71","","36","","21","","","","89.25","","","","","","NA"
"2016-10-05 12:00","2016","10","05","12:00"," ","2.6","","-3.0","","66","","36","","18","","","","89.22","","","","","","NA"
"2016-10-05 13:00","2016","10","05","13:00"," ","2.7","","-3.4","","64","","36","","20","","","","89.22","","","","","","NA"
"2016-10-05 14:00","2016","10","05","14:00"," ","2.6","","-3.3","","65","","36","","20","","","","89.22","","","","","","NA"
"2016-10-05 15:00","2016","10","05","15:00"," ","2.9","","-3.3","","64","","1","","20","","","","89.22","","","","","","NA"
"2016-10-05 16:00","2016","10","05","16:00"," ","3.3","","-3.6","","60","","1","","24","","","","89.22","","","","","","NA"
"2016-10-05 17:00","2016","10","05","17:00"," ","2.4","","-4.0","","63","","36","","23","","","","89.27","","","","","","NA"
"2016-10-05 18:00","2016","10","05","18:00"," ","1.6","","-3.7","","67","","36","","18","","","","89.31","","","","","","NA"
"2016-10-05 19:00","2016","10","05","19:00"," ","0.6","","-4.0","","72","","36","","15","","","","89.35","","","","","","NA"
"2016-10-05 20:00","2016","10","05","20:00"," ","0.2","","-3.6","","75","","34","","12","","","","89.38","","","","","","NA"
"2016-10-05 21:00","2016","10","05","21:00"," ","0.6","","-4.0","","71","","34","","16","","","","89.39","","","","","","NA"
"2016-10-05 22:00","2016","10","05","22:00"," ","0.4","","-4.0","","72","","33","","15","","","","89.43","","","","","","NA"
"2016-10-05 23:00","2016","10","05","23:00"," ","-1.1","","-4.4","","78","","34","","12","","","","89.42","","","","-5","","NA"
"2016-10-06 00:00","2016","10","06","00:00"," ","-0.9","","-4.4","","77","","35","","13","","","","89.44","","","","-5","","NA"
"2016-10-06 01:00","2016","10","06","01:00"," ","-0.8","","-3.9","","80","","35","","11","","","","89.44","","","","-5","","NA"
"2016-10-06 02:00","2016","10","06","02:00"," ","-0.9","","-4.0","","80","","2","","15","","","","89.45","","","","-6","","NA"
"2016-10-06 03:00","2016","10","06","03:00"," ","-1.7","","-4.1","","84","","1","","7","","","","89.47","","","","-4","","NA"
"2016-10-06 04:00","2016","10","06","04:00"," ","-1.5","","-3.9","","84","","1","","6","","","","89.49","","","","-4","","NA"
"2016-10-06 05:00","2016","10","06","05:00"," ","-2.8","","-4.9","","85","","4","","8","","","","89.53","","","","-6","","NA"
"2016-10-06 06:00","2016","10","06","06:00"," ","-3.8","","-5.2","","90","","31","","7","","","","89.55","","","","-7","","NA"
"2016-10-06 07:00","2016","10","06","07:00"," ","-3.8","","-5.4","","89","","28","","6","","","","89.59","","","","-6","","NA"
"2016-10-06 08:00","2016","10","06","08:00"," ","-1.8","","-4.5","","82","","31","","5","","","","89.63","","","","-4","","NA"
"2016-10-06 09:00","2016","10","06","09:00"," ","-0.3","","-4.7","","72","","35","","8","","","","89.68","","","","-3","","NA"
"2016-10-06 10:00","2016","10","06","10:00"," ","1.0","","-4.4","","67","","5","","7","","","","89.71","","","","","","NA"
"2016-10-06 11:00","2016","10","06","11:00"," ","1.6","","-5.2","","60","","8","","6","","","","89.72","","","","","","NA"
"2016-10-06 12:00","2016","10","06","12:00"," ","2.3","","-5.7","","55","","4","","8","","","","89.73","","","","","","NA"
"2016-10-06 13:00","2016","10","06","13:00"," ","3.9","","-5.2","","52","","1","","6","","","","89.71","","","","","","NA"
"2016-10-06 14:00","2016","10","06","14:00"," ","5.0","","-5.5","","47","","36","","5","","","","89.69","","","","","","NA"
"2016-10-06 15:00","2016","10","06","15:00"," ","5.1","","-6.2","","44","","12","","8","","","","89.69","","","","","","NA"
"2016-10-06 16:00","2016","10","06","16:00"," ","4.9","","-6.1","","45","","11","","10","","","","89.70","","","","","","NA"
"2016-10-06 17:00","2016","10","06","17:00"," ","3.0","","-6.0","","52","","9","","14","","","","89.72","","","","","","NA"
"2016-10-06 18:00","2016","10","06","18:00"," ","0.9","","-7.0","","56","","10","","10","","","","89.76","","","","","","NA"
"2016-10-06 19:00","2016","10","06","19:00"," ","-0.2","","-7.8","","57","","11","","11","","","","89.79","","","","-4","","NA"
"2016-10-06 20:00","2016","10","06","20:00"," ","-1.4","","-8.3","","60","","11","","10","","","","89.82","","","","-5","","NA"
"2016-10-06 21:00","2016","10","06","21:00"," ","-0.7","","-7.2","","62","","14","","9","","","","89.82","","","","-4","","NA"
"2016-10-06 22:00","2016","10","06","22:00"," ","0.4","","-7.3","","56","","13","","14","","","","89.79","","","","","","NA"
"2016-10-06 23:00","2016","10","06","23:00"," ","-0.1","","-6.5","","62","","13","","19","","","","89.75","","","","-5","","NA"
"2016-10-07 00:00","2016","10","07","00:00"," ","-0.7","","-6.6","","64","","13","","16","","","","89.73","","","","-5","","NA"
"2016-10-07 01:00","2016","10","07","01:00"," ","-0.6","","-6.1","","66","","14","","16","","","","89.70","","","","-5","","NA"
"2016-10-07 02:00","2016","10","07","02:00"," ","-0.9","","-5.9","","69","","14","","14","","","","89.69","","","","-5","","NA"
"2016-10-07 03:00","2016","10","07","03:00"," ","-1.4","","-5.5","","73","","14","","19","","","","89.62","","","","-7","","NA"
"2016-10-07 04:00","2016","10","07","04:00"," ","-1.4","","-4.8","","78","","14","","16","","","","89.59","","","","-6","","NA"
"2016-10-07 05:00","2016","10","07","05:00"," ","-1.4","","-4.9","","77","","14","","21","","","","89.51","","","","-7","","NA"
"2016-10-07 06:00","2016","10","07","06:00"," ","-1.8","","-4.6","","81","","14","","21","","","","89.48","","","","-8","","NA"
"2016-10-07 07:00","2016","10","07","07:00"," ","-1.9","","-4.4","","83","","14","","22","","","","89.42","","","","-8","","NA"
"2016-10-07 08:00","2016","10","07","08:00"," ","-1.6","","-4.3","","82","","14","","21","","","","89.40","","","","-7","","NA"
"2016-10-07 09:00","2016","10","07","09:00"," ","-2.2","","-3.8","","89","","14","","24","","","","89.36","","","","-9","","NA"
"2016-10-07 10:00","2016","10","07","10:00"," ","-2.6","","-3.3","","95","","14","","19","","","","89.28","","","","-8","","NA"
"2016-10-07 11:00","2016","10","07","11:00"," ","-2.0","","-2.8","","94","","15","","24","","","","89.22","","","","-8","","NA"
"2016-10-07 12:00","2016","10","07","12:00"," ","-2.4","","-3.3","","93","","14","","23","","","","89.21","","","","-9","","NA"
"2016-10-07 13:00","2016","10","07","13:00"," ","-2.1","","-3.1","","93","","14","","25","","","","89.13","","","","-9","","NA"
"2016-10-07 14:00","2016","10","07","14:00"," ","-1.5","","-2.5","","92","","13","","22","","","","89.07","","","","-7","","NA"
"2016-10-07 15:00","2016","10","07","15:00"," ","-1.4","","-2.4","","93","","13","","19","","","","89.07","","","","-7","","NA"
"2016-10-07 16:00","2016","10","07","16:00"," ","-1.6","","-2.2","","95","","13","","18","","","","89.07","","","","-7","","NA"
"2016-10-07 17:00","2016","10","07","17:00"," ","-1.5","","-1.9","","97","","12","","19","","","","89.09","","","","-7","","NA"
"2016-10-07 18:00","2016","10","07","18:00"," ","-1.5","","-1.9","","97","","12","","14","","","","89.09","","","","-6","","NA"
"2016-10-07 19:00","2016","10","07","19:00"," ","-1.4","","-1.9","","97","","12","","12","","","","89.14","","","","-5","","NA"
"2016-10-07 20:00","2016","10","07","20:00"," ","-1.6","","-2.1","","96","","13","","12","","","","89.18","","","","-6","","NA"
"2016-10-07 21:00","2016","10","07","21:00"," ","-1.6","","-2.1","","97","","11","","11","","","","89.24","","","","-5","","NA"
"2016-10-07 22:00","2016","10","07","22:00"," ","-2.0","","-2.5","","97","","12","","11","","","","89.27","","","","-6","","NA"
"2016-10-07 23:00","2016","10","07","23:00"," ","-2.1","","-2.5","","97","","13","","10","","","","89.33","","","","-6","","NA"
"2016-10-08 00:00","2016","10","08","00:00"," ","-2.3","","-2.7","","97","","12","","9","","","","89.38","","","","-6","","NA"
"2016-10-08 01:00","2016","10","08","01:00"," ","-2.4","","-2.8","","97","","14","","8","","","","89.36","","","","-6","","NA"
