"Station Name","CALGARY INT'L CS"
"Province","ALBERTA"
"Latitude","51.11"
"Longitude","-114.00"
"Elevation","1081.90"
"Climate Identifier","3031094"
"WMO Identifier","71393"
"TC Identifier","PCI"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-05-01 00:00","2017","05","01","00:00"," ","2.5","","-1.7","","74","","31","","11","","","","89.15","","","","","","NA"
"2017-05-01 01:00","2017","05","01","01:00"," ","1.7","","-1.8","","77","","32","","14","","","","89.19","","","","","","NA"
"2017-05-01 02:00","2017","05","01","02:00"," ","1.0","","-2.8","","76","","33","","9","","","","89.23","","","","","","NA"
"2017-05-01 03:00","2017","05","01","03:00"," ","1.4","","-2.5","","75","","31","","14","","","","89.24","","","","","","NA"
"2017-05-01 04:00","2017","05","01","04:00"," ","0.2","","-3.3","","77","","32","","13","","","","89.27","","","","","","NA"
"2017-05-01 05:00","2017","05","01","05:00"," ","-0.3","","-3.6","","78","","32","","14","","","","89.29","","","","-5","","NA"
"2017-05-01 06:00","2017","05","01","06:00"," ","1.0","","-3.3","","73","","32","","14","","","","89.31","","","","","","NA"
"2017-05-01 07:00","2017","05","01","07:00"," ","4.0","","-2.2","","64","","31","","14","","","","89.35","","","","","","NA"
"2017-05-01 08:00","2017","05","01","08:00"," ","6.2","","-2.2","","55","","32","","21","","","","89.38","","","","","","NA"
"2017-05-01 09:00","2017","05","01","09:00"," ","8.1","","-2.4","","47","","35","","18","","","","89.35","","","","","","NA"
"2017-05-01 10:00","2017","05","01","10:00"," ","8.8","","-4.5","","39","","33","","15","","","","89.30","","","","","","NA"
"2017-05-01 11:00","2017","05","01","11:00"," ","9.8","","-6.6","","31","","33","","12","","","","89.25","","","","","","NA"
"2017-05-01 12:00","2017","05","01","12:00"," ","10.0","","-8.0","","27","","33","","8","","","","89.20","","","","","","NA"
"2017-05-01 13:00","2017","05","01","13:00"," ","10.8","","-8.3","","25","","7","","9","","","","89.11","","","","","","NA"
"2017-05-01 14:00","2017","05","01","14:00"," ","11.3","","-7.7","","26","","3","","13","","","","89.06","","","","","","NA"
"2017-05-01 15:00","2017","05","01","15:00"," ","10.9","","-7.4","","27","","9","","12","","","","89.03","","","","","","NA"
"2017-05-01 16:00","2017","05","01","16:00"," ","12.2","","-7.7","","24","","20","","8","","","","88.98","","","","","","NA"
"2017-05-01 17:00","2017","05","01","17:00"," ","11.7","","-6.4","","28","","22","","11","","","","88.95","","","","","","NA"
"2017-05-01 18:00","2017","05","01","18:00"," ","10.7","","-5.1","","33","","14","","13","","","","88.91","","","","","","NA"
"2017-05-01 19:00","2017","05","01","19:00"," ","9.7","","-4.8","","36","","12","","12","","","","88.88","","","","","","NA"
"2017-05-01 20:00","2017","05","01","20:00"," ","8.5","","-3.6","","42","","13","","11","","","","88.89","","","","","","NA"
"2017-05-01 21:00","2017","05","01","21:00"," ","7.9","","-2.8","","47","","14","","11","","","","88.93","","","","","","NA"
"2017-05-01 22:00","2017","05","01","22:00"," ","7.8","","-3.0","","46","","18","","15","","","","88.95","","","","","","NA"
"2017-05-01 23:00","2017","05","01","23:00"," ","7.1","","-2.5","","51","","17","","12","","","","88.93","","","","","","NA"
"2017-05-02 00:00","2017","05","02","00:00"," ","6.6","","-1.9","","54","","20","","8","","","","88.94","","","","","","NA"
"2017-05-02 01:00","2017","05","02","01:00"," ","6.8","","-1.7","","55","","4","","9","","","","88.94","","","","","","NA"
"2017-05-02 02:00","2017","05","02","02:00"," ","5.5","","-1.3","","62","","29","","5","","","","88.97","","","","","","NA"
"2017-05-02 03:00","2017","05","02","03:00"," ","2.9","","-0.7","","77","","32","","11","","","","88.97","","","","","","NA"
"2017-05-02 04:00","2017","05","02","04:00"," ","1.8","","-1.2","","81","","33","","10","","","","89.02","","","","","","NA"
"2017-05-02 05:00","2017","05","02","05:00"," ","1.7","","-0.9","","83","","34","","12","","","","89.04","","","","","","NA"
"2017-05-02 06:00","2017","05","02","06:00"," ","2.1","","-0.6","","83","","33","","15","","","","89.12","","","","","","NA"
"2017-05-02 07:00","2017","05","02","07:00"," ","3.5","","0.2","","79","","33","","11","","","","89.18","","","","","","NA"
"2017-05-02 08:00","2017","05","02","08:00"," ","6.3","","0.4","","66","","34","","15","","","","89.23","","","","","","NA"
"2017-05-02 09:00","2017","05","02","09:00"," ","6.6","","0.1","","63","","33","","23","","","","89.26","","","","","","NA"
"2017-05-02 10:00","2017","05","02","10:00"," ","7.7","","0.6","","61","","33","","24","","","","89.29","","","","","","NA"
"2017-05-02 11:00","2017","05","02","11:00"," ","9.2","","-1.3","","48","","33","","28","","","","89.31","","","","","","NA"
"2017-05-02 12:00","2017","05","02","12:00"," ","9.4","","-2.0","","45","","34","","27","","","","89.36","","","","","","NA"
"2017-05-02 13:00","2017","05","02","13:00"," ","8.9","","-2.7","","44","","32","","30","","","","89.38","","","","","","NA"
"2017-05-02 14:00","2017","05","02","14:00"," ","10.6","","-4.2","","35","","35","","19","","","","89.37","","","","","","NA"
"2017-05-02 15:00","2017","05","02","15:00"," ","11.1","","-5.0","","32","","33","","19","","","","89.35","","","","","","NA"
"2017-05-02 16:00","2017","05","02","16:00"," ","10.6","","-3.0","","38","","36","","19","","","","89.36","","","","","","NA"
"2017-05-02 17:00","2017","05","02","17:00"," ","11.9","","-4.8","","31","","34","","7","","","","89.36","","","","","","NA"
"2017-05-02 18:00","2017","05","02","18:00"," ","11.7","","-5.1","","31","","3","","9","","","","89.37","","","","","","NA"
"2017-05-02 19:00","2017","05","02","19:00"," ","10.9","","-5.8","","30","","15","","2","","","","89.37","","","","","","NA"
"2017-05-02 20:00","2017","05","02","20:00"," ","8.0","","-3.2","","45","","9","","4","","","","89.42","","","","","","NA"
"2017-05-02 21:00","2017","05","02","21:00"," ","5.1","","-3.1","","55","","11","","9","","","","89.46","","","","","","NA"
"2017-05-02 22:00","2017","05","02","22:00"," ","5.8","","-3.2","","52","","15","","9","","","","89.48","","","","","","NA"
"2017-05-02 23:00","2017","05","02","23:00"," ","4.1","","-3.1","","59","","15","","10","","","","89.48","","","","","","NA"
"2017-05-03 00:00","2017","05","03","00:00"," ","3.5","","-3.1","","62","","18","","3","","","","89.45","","","","","","NA"
"2017-05-03 01:00","2017","05","03","01:00"," ","3.8","","-2.2","","65","","16","","4","","","","89.38","","","","","","NA"
"2017-05-03 02:00","2017","05","03","02:00"," ","0.3","","-3.7","","75","","20","","4","","","","89.35","","","","","","NA"
"2017-05-03 03:00","2017","05","03","03:00"," ","0.3","","-2.1","","84","","24","","2","","","","89.33","","","","","","NA"
"2017-05-03 04:00","2017","05","03","04:00"," ","0.2","","-2.5","","82","","19","","5","","","","89.31","","","","","","NA"
"2017-05-03 05:00","2017","05","03","05:00"," ","2.0","","-2.4","","73","","22","","8","","","","89.26","","","","","","NA"
"2017-05-03 06:00","2017","05","03","06:00"," ","2.4","","-2.2","","72","","23","","12","","","","89.22","","","","","","NA"
"2017-05-03 07:00","2017","05","03","07:00"," ","6.1","","-2.2","","55","","20","","6","","","","89.21","","","","","","NA"
"2017-05-03 08:00","2017","05","03","08:00"," ","10.6","","-5.6","","32","","18","","8","","","","89.17","","","","","","NA"
"2017-05-03 09:00","2017","05","03","09:00"," ","13.6","","-5.2","","27","","24","","8","","","","89.18","","","","","","NA"
"2017-05-03 10:00","2017","05","03","10:00"," ","15.6","","-3.9","","26","","22","","6","","","","89.17","","","","","","NA"
"2017-05-03 11:00","2017","05","03","11:00"," ","16.2","","-1.9","","29","","28","","20","","","","89.17","","","","","","NA"
"2017-05-03 12:00","2017","05","03","12:00"," ","17.7","","-1.7","","27","","30","","11","","","","89.10","","","","","","NA"
"2017-05-03 13:00","2017","05","03","13:00"," ","18.5","","-2.0","","25","","31","","9","","","","89.08","","","","","","NA"
"2017-05-03 14:00","2017","05","03","14:00"," ","19.0","","-2.7","","23","","3","","5","","","","89.06","","","","","","NA"
"2017-05-03 15:00","2017","05","03","15:00"," ","19.9","","-1.1","","24","","23","","15","","","","89.06","","","","","","NA"
"2017-05-03 16:00","2017","05","03","16:00"," ","20.8","","-0.6","","24","","30","","21","","","","89.05","","","","","","NA"
"2017-05-03 17:00","2017","05","03","17:00"," ","19.5","","0.1","","27","","25","","18","","","","89.07","","","","","","NA"
"2017-05-03 18:00","2017","05","03","18:00"," ","19.9","","0.0","","26","","27","","19","","","","89.08","","","","","","NA"
"2017-05-03 19:00","2017","05","03","19:00"," ","18.1","","0.5","","31","","26","","18","","","","89.10","","","","","","NA"
"2017-05-03 20:00","2017","05","03","20:00"," ","16.9","","0.9","","34","","25","","19","","","","89.11","","","","","","NA"
"2017-05-03 21:00","2017","05","03","21:00"," ","15.4","","1.5","","39","","28","","11","","","","89.16","","","","","","NA"
"2017-05-03 22:00","2017","05","03","22:00"," ","15.1","","1.3","","39","","27","","17","","","","89.19","","","","","","NA"
"2017-05-03 23:00","2017","05","03","23:00"," ","15.1","","1.6","","40","","30","","20","","","","89.19","","","","","","NA"
"2017-05-04 00:00","2017","05","04","00:00"," ","14.6","","1.9","","42","","29","","18","","","","89.23","","","","","","NA"
"2017-05-04 01:00","2017","05","04","01:00"," ","12.2","","2.3","","51","","30","","13","","","","89.24","","","","","","NA"
