"Station Name","CALGARY INT'L CS"
"Province","ALBERTA"
"Latitude","51.11"
"Longitude","-114.00"
"Elevation","1081.90"
"Climate Identifier","3031094"
"WMO Identifier","71393"
"TC Identifier","PCI"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-02-01 00:00","2017","02","01","00:00"," ","-11.4","","-13.2","","86","","29","","6","","","","90.02","","","","-15","","NA"
"2017-02-01 01:00","2017","02","01","01:00"," ","-10.3","","-12.7","","83","","33","","15","","","","90.03","","","","-17","","NA"
"2017-02-01 02:00","2017","02","01","02:00"," ","-10.3","","-12.2","","86","","33","","12","","","","90.04","","","","-16","","NA"
"2017-02-01 03:00","2017","02","01","03:00"," ","-10.5","","-12.8","","84","","35","","18","","","","90.11","","","","-18","","NA"
"2017-02-01 04:00","2017","02","01","04:00"," ","-10.1","","-12.3","","84","","33","","21","","","","90.16","","","","-18","","NA"
"2017-02-01 05:00","2017","02","01","05:00"," ","-10.2","","-13.2","","78","","34","","17","","","","90.22","","","","-17","","NA"
"2017-02-01 06:00","2017","02","01","06:00"," ","-10.0","","-13.3","","77","","32","","24","","","","90.26","","","","-19","","NA"
"2017-02-01 07:00","2017","02","01","07:00"," ","-10.1","","-13.5","","76","","33","","17","","","","90.27","","","","-17","","NA"
"2017-02-01 08:00","2017","02","01","08:00"," ","-10.4","","-13.4","","79","","32","","14","","","","90.33","","","","-17","","NA"
"2017-02-01 09:00","2017","02","01","09:00"," ","-9.8","","-12.8","","79","","31","","12","","","","90.37","","","","-16","","NA"
"2017-02-01 10:00","2017","02","01","10:00"," ","-9.1","","-12.5","","77","","32","","18","","","","90.40","","","","-16","","NA"
"2017-02-01 11:00","2017","02","01","11:00"," ","-8.5","","-12.1","","75","","33","","24","","","","90.41","","","","-17","","NA"
"2017-02-01 12:00","2017","02","01","12:00"," ","-7.7","","-11.9","","72","","33","","24","","","","90.42","","","","-16","","NA"
"2017-02-01 13:00","2017","02","01","13:00"," ","-7.6","","-12.4","","68","","33","","22","","","","90.42","","","","-15","","NA"
"2017-02-01 14:00","2017","02","01","14:00"," ","-7.8","","-13.8","","62","","34","","23","","","","90.43","","","","-16","","NA"
"2017-02-01 15:00","2017","02","01","15:00"," ","-7.9","","-13.7","","63","","36","","22","","","","90.43","","","","-16","","NA"
"2017-02-01 16:00","2017","02","01","16:00"," ","-7.9","","-14.1","","61","","35","","17","","","","90.45","","","","-15","","NA"
"2017-02-01 17:00","2017","02","01","17:00"," ","-8.8","","-14.6","","63","","34","","15","","","","90.47","","","","-15","","NA"
"2017-02-01 18:00","2017","02","01","18:00"," ","-11.3","","-15.0","","74","","36","","8","","","","90.47","","","","-16","","NA"
"2017-02-01 19:00","2017","02","01","19:00"," ","-12.0","","-15.6","","74","","1","","7","","","","90.48","","","","-16","","NA"
"2017-02-01 20:00","2017","02","01","20:00"," ","-11.3","","-14.6","","76","","28","","6","","","","90.48","","","","-15","","NA"
"2017-02-01 21:00","2017","02","01","21:00"," ","-11.9","","-14.9","","79","","27","","4","","","","90.46","","","","-14","","NA"
"2017-02-01 22:00","2017","02","01","22:00"," ","-12.4","","-15.3","","79","","3","","3","","","","90.45","","","","-14","","NA"
"2017-02-01 23:00","2017","02","01","23:00"," ","-12.3","","-14.7","","82","","12","","2","","","","90.45","","","","-14","","NA"
"2017-02-02 00:00","2017","02","02","00:00"," ","-11.2","","-13.7","","81","","23","","3","","","","90.43","","","","-13","","NA"
"2017-02-02 01:00","2017","02","02","01:00"," ","-10.5","","-13.5","","79","","23","","6","","","","90.38","","","","-14","","NA"
