"Station Name","CALGARY INT'L CS"
"Province","ALBERTA"
"Latitude","51.11"
"Longitude","-114.00"
"Elevation","1081.90"
"Climate Identifier","3031094"
"WMO Identifier","71393"
"TC Identifier","PCI"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2010-07-01 00:00","2010","07","01","00:00"," ","9.2","","4.3","","71","","","M","","M","","","89.19","","","","","","NA"
"2010-07-01 01:00","2010","07","01","01:00"," ","9.0","","3.8","","70","","","M","","M","","","89.19","","","","","","NA"
"2010-07-01 02:00","2010","07","01","02:00"," ","7.6","","3.4","","75","","","M","","M","","","89.27","","","","","","NA"
"2010-07-01 03:00","2010","07","01","03:00"," ","7.2","","3.9","","80","","","M","","M","","","89.21","","","","","","NA"
"2010-07-01 04:00","2010","07","01","04:00"," ","7.0","","3.6","","79","","","M","","M","","","89.23","","","","","","NA"
"2010-07-01 05:00","2010","07","01","05:00"," ","7.0","","3.3","","77","","","M","","M","","","89.23","","","","","","NA"
"2010-07-01 06:00","2010","07","01","06:00"," ","9.4","","3.0","","64","","","M","","M","","","89.24","","","","","","NA"
"2010-07-01 07:00","2010","07","01","07:00"," ","10.4","","0.8","","51","","","M","","M","","","89.18","","","","","","NA"
"2010-07-01 08:00","2010","07","01","08:00"," ","11.8","","-0.3","","43","","","M","","M","","","89.15","","","","","","NA"
"2010-07-01 09:00","2010","07","01","09:00"," ","13.0","","0.7","","43","","","M","","M","","","89.10","","","","","","NA"
"2010-07-01 10:00","2010","07","01","10:00"," ","12.7","","1.9","","48","","","M","","M","","","89.03","","","","","","NA"
"2010-07-01 11:00","2010","07","01","11:00"," ","13.7","","3.1","","49","","","M","","M","","","88.95","","","","","","NA"
"2010-07-01 12:00","2010","07","01","12:00"," ","14.2","","2.3","","45","","","M","","M","","","88.84","","","","","","NA"
"2010-07-01 13:00","2010","07","01","13:00"," ","15.4","","2.7","","42","","","M","","M","","","88.75","","","","","","NA"
"2010-07-01 14:00","2010","07","01","14:00"," ","17.4","","3.5","","40","","","M","","M","","","88.68","","","","","","NA"
"2010-07-01 15:00","2010","07","01","15:00"," ","17.7","","2.3","","36","","","M","","M","","","88.60","","","","","","NA"
"2010-07-01 16:00","2010","07","01","16:00"," ","17.6","","3.2","","38","","","M","","M","","","88.53","","","","","","NA"
"2010-07-01 17:00","2010","07","01","17:00"," ","18.4","","4.3","","39","","","M","","M","","","88.47","","","","","","NA"
"2010-07-01 18:00","2010","07","01","18:00"," ","17.6","","5.5","","45","","","M","","M","","","88.41","","","","","","NA"
"2010-07-01 19:00","2010","07","01","19:00"," ","15.7","","5.7","","51","","","M","","M","","","88.40","","","","","","NA"
"2010-07-01 20:00","2010","07","01","20:00"," ","14.7","","6.4","","57","","","M","","M","","","88.38","","","","","","NA"
"2010-07-01 21:00","2010","07","01","21:00"," ","12.9","","7.1","","68","","","M","","M","","","88.48","","","","","","NA"
"2010-07-01 22:00","2010","07","01","22:00"," ","11.3","","7.2","","76","","","M","","M","","","88.40","","","","","","NA"
"2010-07-01 23:00","2010","07","01","23:00"," ","11.3","","6.9","","74","","","M","","M","","","88.39","","","","","","NA"
"2010-07-02 00:00","2010","07","02","00:00"," ","9.3","","6.2","","81","","","M","","M","","","88.34","","","","","","NA"
"2010-07-02 01:00","2010","07","02","01:00"," ","9.9","","6.2","","78","","","M","","M","","","88.32","","","","","","NA"
"2010-07-02 02:00","2010","07","02","02:00"," ","8.0","","3.4","","73","","","M","","M","","","88.32","","","","","","NA"
"2010-07-02 03:00","2010","07","02","03:00"," ","7.1","","2.2","","71","","","M","","M","","","88.32","","","","","","NA"
"2010-07-02 04:00","2010","07","02","04:00"," ","7.1","","3.3","","77","","","M","","M","","","88.31","","","","","","NA"
"2010-07-02 05:00","2010","07","02","05:00"," ","8.7","","3.1","","68","","","M","","M","","","88.32","","","","","","NA"
"2010-07-02 06:00","2010","07","02","06:00"," ","10.4","","2.0","","56","","","M","","M","","","88.28","","","","","","NA"
"2010-07-02 07:00","2010","07","02","07:00"," ","11.1","","2.7","","56","","","M","","M","","","88.30","","","","","","NA"
"2010-07-02 08:00","2010","07","02","08:00"," ","12.3","","1.5","","48","","","M","","M","","","88.39","","","","","","NA"
"2010-07-02 09:00","2010","07","02","09:00"," ","12.8","","2.0","","48","","","M","","M","","","88.32","","","","","","NA"
"2010-07-02 10:00","2010","07","02","10:00"," ","13.1","","2.5","","49","","","M","","M","","","88.26","","","","","","NA"
"2010-07-02 11:00","2010","07","02","11:00"," ","14.6","","3.1","","46","","","M","","M","","","88.24","","","","","","NA"
"2010-07-02 12:00","2010","07","02","12:00"," ","14.9","","1.3","","40","","","M","","M","","","88.23","","","","","","NA"
"2010-07-02 13:00","2010","07","02","13:00"," ","16.1","","1.4","","37","","","M","","M","","","88.18","","","","","","NA"
"2010-07-02 14:00","2010","07","02","14:00"," ","15.9","","1.3","","37","","","M","","M","","","88.18","","","","","","NA"
"2010-07-02 15:00","2010","07","02","15:00"," ","16.6","","3.5","","42","","","M","","M","","","88.16","","","","","","NA"
"2010-07-02 16:00","2010","07","02","16:00"," ","15.8","","4.4","","47","","","M","","M","","","88.18","","","","","","NA"
"2010-07-02 17:00","2010","07","02","17:00"," ","16.1","","3.0","","41","","","M","","M","","","88.16","","","","","","NA"
"2010-07-02 18:00","2010","07","02","18:00"," ","16.0","","5.3","","49","","","M","","M","","","88.17","","","","","","NA"
"2010-07-02 19:00","2010","07","02","19:00"," ","11.8","","7.6","","75","","","M","","M","","","88.27","","","","","","NA"
"2010-07-02 20:00","2010","07","02","20:00"," ","12.4","","8.1","","75","","","M","","M","","","88.24","","","","","","NA"
