Date,Forecast Pool Price,Actual Posted Pool Price,Day-Ahead Forecasted AIL,Actual AIL,Forecasted & Actual AIL Difference
09/17/2016 01,15.25,14.41,"8,149","8,128",21
09/17/2016 02,15.25,14.9,"7,976","7,967",9
09/17/2016 03,13.51,14.29,"7,868","7,878",-10
09/17/2016 04,15.25,13.77,"7,813","7,813",0
09/17/2016 05,13.51,13.71,"7,806","7,805",1
09/17/2016 06,15.25,14.26,"7,858","7,894",-36
09/17/2016 07,13.51,13.51,"8,039","8,021",18
09/17/2016 08,14.27,13.51,"8,109","8,180",-71
09/17/2016 09,13.5,14.27,"8,374","8,375",-1
09/17/2016 10,15.46,15.33,"8,626","8,622",4
09/17/2016 11,15.25,15.29,"8,797","8,801",-4
09/17/2016 12,15.46,15.43,"8,895","8,936",-41
09/17/2016 13,15.47,15.46,"8,936","8,931",5
09/17/2016 14,15.47,15.47,"8,932","8,912",20
09/17/2016 15,15.47,15.47,"8,919","8,868",51
09/17/2016 16,15.5,15.49,"8,928","8,883",45
09/17/2016 17,17.36,16.15,"8,986","8,940",46
09/17/2016 18,17.46,16.22,"8,972","8,903",69
09/17/2016 19,15.36,15.36,"8,891","8,778",113
09/17/2016 20,15.28,15.34,"8,879","8,757",122
09/17/2016 21,15.49,15.41,"9,016","8,922",94
09/17/2016 22,15.36,15.29,"8,852","8,773",79
09/17/2016 23,15.3,15.25,"8,625","8,540",85
09/17/2016 24,15.26,15.25,"8,348","8,291",57
09/18/2016 01,14.38,14.09,"8,053","8,087",-34
09/18/2016 02,13.51,13.51,"7,903","7,930",-27
09/18/2016 03,13.5,13.5,"7,806","7,834",-28
09/18/2016 04,13.51,13.51,"7,758","7,808",-50
09/18/2016 05,13.51,13.51,"7,753","7,780",-27
09/18/2016 06,13.51,14.0,"7,795","7,830",-35
09/18/2016 07,15.25,15.25,"7,931","7,947",-16
09/18/2016 08,15.26,15.26,"7,911","7,976",-65
09/18/2016 09,15.25,15.26,"8,115","8,087",28
09/18/2016 10,15.06,15.25,"8,337","8,318",19
09/18/2016 11,15.26,15.26,"8,509","8,483",26
09/18/2016 12,15.35,15.26,"8,624","8,568",56
09/18/2016 13,15.37,15.38,"8,695","8,683",12
09/18/2016 14,15.46,15.46,"8,703","8,718",-15
09/18/2016 15,15.46,15.4,"8,698","8,722",-24
09/18/2016 16,15.37,15.37,"8,733","8,757",-24
09/18/2016 17,15.45,15.41,"8,831","8,855",-24
09/18/2016 18,15.43,15.41,"8,864","8,936",-72
09/18/2016 19,15.37,15.28,"8,798","8,843",-45
09/18/2016 20,15.36,15.33,"8,834","8,886",-52
09/18/2016 21,15.5,15.46,"8,997","9,095",-98
09/18/2016 22,15.39,15.38,"8,841","8,944",-103
09/18/2016 23,15.26,15.3,"8,540","8,576",-36
09/18/2016 24,15.26,15.26,"8,192","8,239",-47
09/19/2016 01,15.25,14.58,"7,972","8,003",-31
09/19/2016 02,13.5,13.5,"7,851","7,875",-24
09/19/2016 03,13.5,13.5,"7,786","7,856",-70
09/19/2016 04,13.5,13.5,"7,775","7,852",-77
09/19/2016 05,13.51,13.51,"7,827","7,876",-49
09/19/2016 06,15.25,15.26,"8,033","8,048",-15
09/19/2016 07,15.67,15.42,"8,521","8,543",-22
09/19/2016 08,15.45,16.56,"8,927","8,939",-12
09/19/2016 09,17.24,22.74,"9,122","9,070",52
09/19/2016 10,28.71,31.56,"9,226","9,147",79
09/19/2016 11,37.92,34.18,"9,305","9,234",71
09/19/2016 12,18.14,18.18,"9,356","9,257",99
09/19/2016 13,15.49,15.67,"9,358","9,278",80
09/19/2016 14,15.37,15.4,"9,376","9,322",54
09/19/2016 15,15.45,15.37,"9,362","9,308",54
09/19/2016 16,15.46,15.48,"9,366","9,398",-32
09/19/2016 17,16.19,16.84,"9,417","9,440",-23
09/19/2016 18,16.61,15.87,"9,379","9,406",-27
09/19/2016 19,15.47,15.48,"9,197","9,237",-40
09/19/2016 20,18.56,19.03,"9,215","9,230",-15
09/19/2016 21,29.11,20.3,"9,333","9,407",-74
09/19/2016 22,18.08,16.67,"9,118","9,134",-16
09/19/2016 23,15.38,15.3,"8,736","8,744",-8
09/19/2016 24,15.3,15.3,"8,350","8,355",-5
09/20/2016 01,15.47,15.38,"8,122","8,230",-108
09/20/2016 02,15.46,15.39,"7,986","8,111",-125
09/20/2016 03,15.47,15.31,"7,911","8,011",-100
09/20/2016 04,15.26,15.26,"7,892","7,964",-72
09/20/2016 05,15.28,15.34,"7,935","8,000",-65
09/20/2016 06,15.33,15.26,"8,129","8,124",5
09/20/2016 07,15.33,15.41,"8,616","8,568",48
09/20/2016 08,15.46,15.35,"8,981","8,958",23
09/20/2016 09,15.26,15.42,"9,125","9,046",79
09/20/2016 10,15.46,15.46,"9,188","9,128",60
09/20/2016 11,15.46,15.47,"9,232","9,174",58
09/20/2016 12,17.17,16.93,"9,265","9,225",40
09/20/2016 13,19.29,19.91,"9,260","9,279",-19
09/20/2016 14,21.44,19.64,"9,274","9,234",40
09/20/2016 15,19.2,17.68,"9,260","9,213",47
09/20/2016 16,15.51,16.05,"9,264","9,222",42
09/20/2016 17,15.46,15.47,"9,317","9,306",11
09/20/2016 18,15.47,15.43,"9,288","9,293",-5
09/20/2016 19,15.37,15.41,"9,117","9,167",-50
09/20/2016 20,15.46,15.44,"9,170","9,237",-67
09/20/2016 21,18.72,15.51,"9,287","9,390",-103
09/20/2016 22,15.47,15.49,"9,090","9,110",-20
09/20/2016 23,15.43,15.4,"8,718","8,674",44
09/20/2016 24,15.41,15.38,"8,336","8,283",53
09/21/2016 01,15.37,15.28,"8,119","8,042",77
09/21/2016 02,15.26,15.26,"7,984","7,909",75
09/21/2016 03,15.26,15.26,"7,909","7,876",33
09/21/2016 04,15.37,15.26,"7,887","7,886",1
09/21/2016 05,15.32,15.26,"7,930","7,885",45
09/21/2016 06,15.4,15.43,"8,125","8,048",77
09/21/2016 07,16.97,15.47,"8,612","8,538",74
09/21/2016 08,16.99,15.7,"8,964","8,900",64
09/21/2016 09,17.14,15.85,"9,102","8,899",203
09/21/2016 10,15.47,16.19,"9,158","8,984",174
09/21/2016 11,21.41,20.67,"9,215","9,056",159
09/21/2016 12,19.26,19.8,"9,251","9,070",181
09/21/2016 13,21.41,21.39,"9,240","9,080",160
09/21/2016 14,21.41,21.41,"9,254","9,120",134
09/21/2016 15,20.72,20.65,"9,244","9,118",126
09/21/2016 16,20.98,21.33,"9,252","9,112",140
09/21/2016 17,21.41,30.06,"9,311","9,200",111
09/21/2016 18,33.7,31.61,"9,281","9,192",89
09/21/2016 19,27.6,22.95,"9,114","9,051",63
09/21/2016 20,26.65,21.38,"9,181","9,080",101
09/21/2016 21,20.5,21.3,"9,290","9,256",34
09/21/2016 22,21.3,20.93,"9,093","9,034",59
09/21/2016 23,17.96,18.09,"8,726","8,714",12
09/21/2016 24,16.38,15.47,"8,348","8,357",-9
09/22/2016 01,15.95,15.46,"8,130","8,158",-28
09/22/2016 02,15.38,15.45,"7,992","8,041",-49
09/22/2016 03,15.46,15.38,"7,915","7,949",-34
09/22/2016 04,15.43,15.42,"7,893","7,950",-57
09/22/2016 05,15.45,15.35,"7,932","7,905",27
09/22/2016 06,15.28,15.32,"8,127","8,057",70
09/22/2016 07,15.44,15.45,"8,605","8,589",16
09/22/2016 08,15.48,15.46,"8,896","8,984",-88
09/22/2016 09,15.46,15.5,"9,050","9,080",-30
09/22/2016 10,18.54,19.68,"9,125","9,137",-12
09/22/2016 11,21.41,26.77,"9,180","9,247",-67
09/22/2016 12,32.58,28.12,"9,216","9,294",-78
09/22/2016 13,15.52,20.6,"9,206","9,314",-108
09/22/2016 14,18.58,20.7,"9,225","9,344",-119
09/22/2016 15,18.49,18.43,"9,213","9,285",-72
09/22/2016 16,18.3,20.91,"9,218","9,225",-7
09/22/2016 17,21.41,21.41,"9,260","9,267",-7
09/22/2016 18,20.31,21.4,"9,216","9,286",-70
09/22/2016 19,21.41,21.41,"9,057","9,204",-147
09/22/2016 20,27.11,21.41,"9,138","9,282",-144
09/22/2016 21,23.13,20.81,"9,230","9,384",-154
09/22/2016 22,15.45,19.15,"9,033","9,158",-125
09/22/2016 23,20.01,18.92,"8,673","8,756",-83
09/22/2016 24,17.52,16.75,"8,299","8,390",-91
09/23/2016 01,21.8,19.3,"8,071","8,160",-89
09/23/2016 02,15.46,16.28,"7,928","8,014",-86
09/23/2016 03,15.46,15.42,"7,847","7,926",-79
09/23/2016 04,15.41,15.39,"7,820","7,912",-92
09/23/2016 05,15.43,15.46,"7,861","7,958",-97
09/23/2016 06,17.62,16.57,"8,041","8,140",-99
09/23/2016 07,19.12,20.62,"8,497","8,557",-60
09/23/2016 08,21.79,21.49,"8,942","9,014",-72
09/23/2016 09,21.41,21.42,"9,126","9,154",-28
09/23/2016 10,21.41,21.41,"9,231","9,243",-12
09/23/2016 11,21.41,21.41,"9,303","9,316",-13
09/23/2016 12,21.41,21.06,"9,345","9,351",-6
09/23/2016 13,17.67,18.0,"9,339","9,296",43
09/23/2016 14,18.45,18.03,"9,353","9,333",20
09/23/2016 15,18.85,17.35,"9,334","9,342",-8
09/23/2016 16,20.07,18.83,"9,314","9,351",-37
09/23/2016 17,20.07,19.01,"9,313","9,313",0
09/23/2016 18,18.35,18.91,"9,234","9,288",-54
09/23/2016 19,17.07,16.46,"9,061","9,072",-11
09/23/2016 20,15.47,15.46,"9,132","9,078",54
09/23/2016 21,15.49,15.42,"9,194","9,204",-10
09/23/2016 22,15.33,15.29,"9,007","9,046",-39
09/23/2016 23,15.26,15.26,"8,710","8,744",-34
09/23/2016 24,15.25,15.25,"8,390","8,439",-49
09/24/2016 01,14.38,13.74,"8,153","8,176",-23
09/24/2016 02,13.5,13.5,"7,998","8,037",-39
09/24/2016 03,13.5,13.5,"7,904","7,957",-53
09/24/2016 04,13.51,13.51,"7,863","7,929",-66
09/24/2016 05,13.51,14.15,"7,867","7,950",-83
09/24/2016 06,15.25,14.29,"7,931","8,009",-78
09/24/2016 07,13.51,14.93,"8,111","8,142",-31
09/24/2016 08,13.51,13.51,"8,255","8,328",-73
09/24/2016 09,14.67,14.93,"8,476","8,510",-34
09/24/2016 10,16.05,15.46,"8,693","8,805",-112
09/24/2016 11,15.47,15.47,"8,824","8,909",-85
09/24/2016 12,15.47,15.47,"8,887","8,979",-92
09/24/2016 13,15.46,15.95,"8,898","8,998",-100
09/24/2016 14,21.16,25.3,"8,869","9,004",-135
09/24/2016 15,31.39,32.34,"8,833","9,026",-193
09/24/2016 16,34.47,33.15,"8,826","9,019",-193
09/24/2016 17,21.41,21.48,"8,876","9,040",-164
09/24/2016 18,21.41,21.41,"8,881","9,062",-181
09/24/2016 19,17.07,21.41,"8,798","8,961",-163
09/24/2016 20,29.29,21.41,"8,906","9,044",-138
09/24/2016 21,21.41,21.41,"8,970","9,099",-129
09/24/2016 22,17.37,17.55,"8,833","8,958",-125
09/24/2016 23,18.17,16.01,"8,609","8,688",-79
09/24/2016 24,15.47,15.43,"8,336","8,398",-62
09/25/2016 01,15.3,15.28,"8,129","8,141",-12
09/25/2016 02,15.26,15.26,"7,984","7,964",20
09/25/2016 03,15.25,15.26,"7,889","7,863",26
09/25/2016 04,15.25,15.25,"7,845","7,856",-11
09/25/2016 05,15.26,15.26,"7,842","7,887",-45
09/25/2016 06,15.37,15.34,"7,884","8,000",-116
09/25/2016 07,15.37,15.37,"8,017","8,142",-125
09/25/2016 08,15.34,15.3,"8,202","8,223",-21
09/25/2016 09,15.28,15.32,"8,372","8,369",3
09/25/2016 10,15.47,15.46,"8,577","8,594",-17
09/25/2016 11,15.49,15.47,"8,731","8,635",96
09/25/2016 12,15.47,15.46,"8,832","8,650",182
09/25/2016 13,15.46,15.46,"8,893","8,711",182
09/25/2016 14,15.46,15.46,"8,890","8,692",198
09/25/2016 15,15.46,15.46,"8,876","8,691",185
09/25/2016 16,15.39,15.41,"8,905","8,706",199
09/25/2016 17,15.46,15.43,"9,006","8,763",243
09/25/2016 18,15.49,15.47,"9,043","8,867",176
09/25/2016 19,16.54,16.1,"8,979","8,809",170
09/25/2016 20,26.45,26.1,"9,124","8,967",157
09/25/2016 21,28.14,23.59,"9,195","9,127",68
09/25/2016 22,21.41,19.68,"9,045","8,911",134
09/25/2016 23,15.8,15.81,"8,735","8,547",188
09/25/2016 24,15.28,15.33,"8,386","8,196",190
09/26/2016 01,15.3,15.36,"8,173","7,986",187
09/26/2016 02,15.38,15.38,"8,038","7,884",154
09/26/2016 03,15.37,15.37,"7,961","7,834",127
09/26/2016 04,15.38,15.36,"7,942","7,791",151
09/26/2016 05,15.26,15.26,"7,987","7,840",147
09/26/2016 06,15.37,15.3,"8,177","8,020",157
09/26/2016 07,15.4,15.43,"8,651","8,488",163
09/26/2016 08,15.38,15.46,"8,957","8,915",42
09/26/2016 09,15.46,15.5,"9,159","9,053",106
09/26/2016 10,18.6,18.94,"9,292","9,251",41
09/26/2016 11,19.74,20.14,"9,402","9,326",76
09/26/2016 12,22.21,20.49,"9,478","9,332",146
09/26/2016 13,18.84,18.53,"9,503","9,432",71
09/26/2016 14,18.04,15.55,"9,538","9,504",34
09/26/2016 15,18.38,19.37,"9,538","9,554",-16
09/26/2016 16,19.5,17.18,"9,555","9,536",19
09/26/2016 17,18.38,18.36,"9,617","9,576",41
09/26/2016 18,18.83,19.5,"9,557","9,512",45
09/26/2016 19,19.51,19.68,"9,370","9,316",54
09/26/2016 20,27.03,22.86,"9,470","9,376",94
09/26/2016 21,26.48,23.48,"9,469","9,396",73
09/26/2016 22,21.07,20.49,"9,229","9,144",85
09/26/2016 23,16.7,18.18,"8,831","8,786",45
09/26/2016 24,15.42,15.39,"8,430","8,421",9
09/27/2016 01,15.4,15.38,"8,178","8,156",22
09/27/2016 02,15.37,15.37,"8,029","8,044",-15
09/27/2016 03,15.37,15.37,"7,942","7,979",-37
09/27/2016 04,15.38,15.31,"7,914","7,920",-6
09/27/2016 05,15.33,15.03,"7,949","7,946",3
09/27/2016 06,13.23,14.84,"8,126","8,141",-15
09/27/2016 07,18.12,16.95,"8,598","8,608",-10
09/27/2016 08,18.04,21.2,"8,939","9,017",-78
09/27/2016 09,21.41,21.11,"9,091","9,067",24
09/27/2016 10,19.5,19.48,"9,183","9,163",20
09/27/2016 11,18.25,18.32,"9,260","9,221",39
09/27/2016 12,15.48,16.27,"9,320","9,268",52
09/27/2016 13,19.4,17.71,"9,340","9,355",-15
09/27/2016 14,17.42,15.68,"9,372","9,368",4
09/27/2016 15,15.48,15.47,"9,373","9,310",63
09/27/2016 16,15.46,15.46,"9,390","9,283",107
09/27/2016 17,15.46,15.56,"9,453","9,289",164
09/27/2016 18,18.76,19.45,"9,401","9,255",146
09/27/2016 19,21.41,23.9,"9,224","9,095",129
09/27/2016 20,33.69,34.28,"9,351","9,149",202
09/27/2016 21,35.77,35.49,"9,352","9,220",132
09/27/2016 22,26.15,30.98,"9,130","9,078",52
09/27/2016 23,25.33,23.84,"8,743","8,733",10
09/27/2016 24,21.41,19.34,"8,345","8,396",-51
09/28/2016 01,20.4,19.55,"8,120","8,215",-95
09/28/2016 02,21.3,21.08,"7,988","8,109",-121
09/28/2016 03,21.41,21.08,"7,914","8,038",-124
09/28/2016 04,21.41,18.01,"7,892","7,985",-93
09/28/2016 05,15.8,15.49,"7,936","8,032",-96
09/28/2016 06,18.34,18.59,"8,128","8,245",-117
09/28/2016 07,23.89,21.33,"8,611","8,696",-85
09/28/2016 08,21.55,21.22,"8,996","9,165",-169
09/28/2016 09,23.78,23.91,"9,108","9,254",-146
09/28/2016 10,21.41,21.78,"9,160","9,304",-144
09/28/2016 11,21.59,21.41,"9,217","9,293",-76
09/28/2016 12,21.41,21.41,"9,255","9,250",5
09/28/2016 13,21.92,23.39,"9,246","9,276",-30
09/28/2016 14,32.76,31.25,"9,262","9,283",-21
09/28/2016 15,30.73,27.85,"9,254","9,228",26
09/28/2016 16,21.68,21.84,"9,265","9,218",47
09/28/2016 17,26.59,24.67,"9,332","9,296",36
09/28/2016 18,27.72,28.19,"9,297","9,302",-5
09/28/2016 19,29.34,23.73,"9,130","9,154",-24
09/28/2016 20,27.52,21.84,"9,294","9,275",19
09/28/2016 21,21.46,21.67,"9,303","9,333",-30
