Date,Forecast Pool Price,Actual Posted Pool Price,Day-Ahead Forecasted AIL,Actual AIL,Forecasted & Actual AIL Difference
01/19/2017 01,18.39,18.37,"9,008","9,042",-34
01/19/2017 02,15.41,15.55,"8,876","8,932",-56
01/19/2017 03,18.28,17.18,"8,798","8,846",-48
01/19/2017 04,18.28,18.28,"8,779","8,801",-22
01/19/2017 05,18.34,18.28,"8,828","8,863",-35
01/19/2017 06,16.85,18.05,"9,029","9,013",16
01/19/2017 07,18.94,19.32,"9,489","9,550",-61
01/19/2017 08,36.19,35.24,"10,053","10,128",-75
01/19/2017 09,42.87,43.79,"10,163","10,303",-140
01/19/2017 10,31.41,42.66,"10,120","10,276",-156
01/19/2017 11,44.51,37.97,"10,123","10,255",-132
01/19/2017 12,23.07,32.46,"10,122","10,271",-149
01/19/2017 13,18.63,18.95,"10,083","10,239",-156
01/19/2017 14,18.66,18.55,"10,084","10,237",-153
01/19/2017 15,18.52,18.59,"10,071","10,226",-155
01/19/2017 16,19.54,18.91,"10,108","10,260",-152
01/19/2017 17,21.34,20.42,"10,305","10,427",-122
01/19/2017 18,24.26,31.55,"10,646","10,751",-105
01/19/2017 19,24.24,22.63,"10,530","10,660",-130
01/19/2017 20,20.43,20.01,"10,412","10,467",-55
01/19/2017 21,18.49,18.51,"10,269","10,273",-4
01/19/2017 22,18.38,18.37,"10,013","9,988",25
01/19/2017 23,15.41,15.41,"9,614","9,621",-7
01/19/2017 24,15.41,15.41,"9,248","9,364",-116
01/20/2017 01,15.41,15.41,"9,111","9,172",-61
01/20/2017 02,15.41,15.41,"8,981","8,995",-14
01/20/2017 03,15.41,15.41,"8,905","8,922",-17
01/20/2017 04,15.41,15.41,"8,887","8,940",-53
01/20/2017 05,15.41,15.41,"8,942","8,982",-40
01/20/2017 06,15.68,16.59,"9,136","9,238",-102
01/20/2017 07,18.73,18.58,"9,577","9,718",-141
01/20/2017 08,20.63,20.67,"10,184","10,235",-51
01/20/2017 09,22.94,26.36,"10,313","10,407",-94
01/20/2017 10,34.98,34.33,"10,285","10,362",-77
01/20/2017 11,35.57,34.99,"10,285","10,249",36
01/20/2017 12,34.82,34.8,"10,271","10,194",77
01/20/2017 13,29.81,33.75,"10,219","10,107",112
01/20/2017 14,34.89,36.1,"10,202","10,074",128
01/20/2017 15,34.89,36.05,"10,173","9,992",181
01/20/2017 16,34.87,34.93,"10,179","9,982",197
01/20/2017 17,45.82,33.76,"10,328","10,054",274
01/20/2017 18,23.46,29.92,"10,632","10,403",229
01/20/2017 19,33.49,33.7,"10,525","10,417",108
01/20/2017 20,27.77,30.34,"10,402","10,299",103
01/20/2017 21,27.43,27.77,"10,263","10,194",69
01/20/2017 22,28.43,27.6,"10,034","10,023",11
01/20/2017 23,25.23,23.08,"9,706","9,679",27
01/20/2017 24,20.42,19.83,"9,400","9,410",-10
01/21/2017 01,19.98,19.11,"9,334","9,225",109
01/21/2017 02,19.55,19.01,"9,178","9,091",87
01/21/2017 03,18.51,18.63,"9,082","9,043",39
01/21/2017 04,18.51,18.63,"9,050","9,044",6
01/21/2017 05,19.11,18.63,"9,064","9,062",2
01/21/2017 06,19.11,19.11,"9,141","9,137",4
01/21/2017 07,20.2,20.27,"9,310","9,383",-73
01/21/2017 08,21.07,21.22,"9,537","9,672",-135
01/21/2017 09,24.78,27.12,"9,750","9,896",-146
01/21/2017 10,27.77,27.77,"9,869","10,037",-168
01/21/2017 11,27.77,28.0,"9,951","10,124",-173
01/21/2017 12,35.44,32.53,"9,973","10,105",-132
01/21/2017 13,26.11,27.77,"9,943","10,063",-120
01/21/2017 14,26.05,25.72,"9,889","10,009",-120
01/21/2017 15,21.94,22.44,"9,845","9,983",-138
01/21/2017 16,23.76,22.49,"9,867","10,049",-182
01/21/2017 17,30.91,27.51,"10,081","10,231",-150
01/21/2017 18,37.5,41.15,"10,453","10,603",-150
01/21/2017 19,39.13,39.27,"10,401","10,614",-213
01/21/2017 20,34.66,34.81,"10,281","10,491",-210
01/21/2017 21,27.85,28.71,"10,148","10,355",-207
01/21/2017 22,34.29,27.55,"9,970","10,162",-192
01/21/2017 23,21.98,23.09,"9,708","9,946",-238
01/21/2017 24,20.73,20.54,"9,441","9,702",-261
01/22/2017 01,18.42,18.92,"9,265","9,475",-210
01/22/2017 02,18.44,18.46,"9,119","9,324",-205
01/22/2017 03,18.39,18.39,"9,024","9,221",-197
01/22/2017 04,18.39,18.39,"8,989","9,153",-164
01/22/2017 05,18.39,18.39,"8,997","9,153",-156
01/22/2017 06,18.41,18.43,"9,052","9,246",-194
01/22/2017 07,18.5,18.5,"9,174","9,357",-183
01/22/2017 08,19.78,20.13,"9,519","9,592",-73
01/22/2017 09,20.42,20.43,"9,685","9,842",-157
01/22/2017 10,23.74,20.5,"9,795","10,001",-206
01/22/2017 11,27.34,25.93,"9,901","10,143",-242
01/22/2017 12,27.77,27.64,"9,959","10,231",-272
01/22/2017 13,34.39,32.77,"9,978","10,310",-332
01/22/2017 14,30.39,27.77,"9,950","10,297",-347
01/22/2017 15,27.77,27.77,"9,928","10,292",-364
01/22/2017 16,29.64,33.41,"9,987","10,339",-352
01/22/2017 17,39.5,34.49,"10,253","10,562",-309
01/22/2017 18,41.5,35.36,"10,645","10,855",-210
01/22/2017 19,34.7,35.09,"10,626","10,822",-196
01/22/2017 20,33.91,32.07,"10,538","10,679",-141
01/22/2017 21,32.7,27.77,"10,426","10,508",-82
01/22/2017 22,28.77,27.77,"10,237","10,250",-13
01/22/2017 23,20.42,20.49,"9,895","9,858",37
01/22/2017 24,19.78,19.27,"9,554","9,534",20
01/23/2017 01,18.63,18.51,"9,331","9,312",19
01/23/2017 02,18.4,18.39,"9,220","9,173",47
01/23/2017 03,18.39,18.39,"9,164","9,125",39
01/23/2017 04,18.39,18.39,"9,163","9,180",-17
01/23/2017 05,18.39,18.39,"9,230","9,279",-49
01/23/2017 06,18.92,19.23,"9,444","9,487",-43
01/23/2017 07,22.14,22.71,"9,902","10,003",-101
01/23/2017 08,41.24,34.53,"10,584","10,570",14
01/23/2017 09,36.17,37.66,"10,716","10,713",3
01/23/2017 10,30.39,34.86,"10,700","10,704",-4
01/23/2017 11,35.01,35.01,"10,712","10,748",-36
01/23/2017 12,34.82,35.01,"10,704","10,808",-104
01/23/2017 13,35.53,35.53,"10,653","10,806",-153
01/23/2017 14,35.53,35.53,"10,634","10,825",-191
01/23/2017 15,35.53,35.25,"10,607","10,736",-129
01/23/2017 16,32.94,31.4,"10,634","10,795",-161
01/23/2017 17,32.06,27.77,"10,837","10,939",-102
01/23/2017 18,27.76,30.66,"11,137","11,182",-45
01/23/2017 19,34.81,29.41,"11,075","11,079",-4
01/23/2017 20,28.55,27.77,"10,975","10,904",71
01/23/2017 21,30.12,27.77,"10,844","10,738",106
01/23/2017 22,27.76,26.92,"10,592","10,490",102
01/23/2017 23,20.77,20.66,"10,182","10,102",80
01/23/2017 24,19.45,18.92,"9,813","9,717",96
01/24/2017 01,18.56,18.74,"9,556","9,507",49
01/24/2017 02,18.53,18.47,"9,425","9,374",51
01/24/2017 03,18.39,18.39,"9,353","9,238",115
